ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,1,0.030945616,0.022024697,0.002283791
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,2,0.052412558,0.062833555,0.069228731
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,3,0.100645445,0.025838744,0.082511097
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,4,0.034296811,0.01221779,0.174292445
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,5,0.039168954,0.02269383,0.137567773
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,6,0.022897294,0.054084778,0.134164959
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,7,0.085315339,0.054681741,0.106319055
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,8,0.071398139,0.05407526,0.116578251
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,9,0.094412662,0.045420207,0.005060986
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,10,0.035830241,0.024031952,0.023907065
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,11,0.039693967,0.024394263,0.019529538
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,12,0.041906975,0.016107883,0.020768916
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,13,0,0,0
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,14,0.022182859,0.088591747,0.101308815
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,15,0.040659498,0.037919473,0.037876435
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,16,0.058085427,0.048391808,0.079351261
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,17,0,0.128366426,0.299978733
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,18,0,0.017948683,0.207308233
SE-Conv-L1_FaceBased_R2.pth,AlexNet,1,FaceBased,2,E,19,0,0.220994696,0.1364692
