ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
Baseline_AlexNet_FaceBased.pth,E,1,4,215,107.069824,0,Background
Baseline_AlexNet_FaceBased.pth,E,2,4,146,17.676315,0,Nose
Baseline_AlexNet_FaceBased.pth,E,3,4,163,48.341805,0,Background
Baseline_AlexNet_FaceBased.pth,E,4,4,146,17.670252,0,Nose
Baseline_AlexNet_FaceBased.pth,E,5,4,163,57.53051,0,Background
Baseline_AlexNet_FaceBased.pth,E,6,4,163,68.36358,0,Background
Baseline_AlexNet_FaceBased.pth,E,7,4,163,88.70563,0,Background
Baseline_AlexNet_FaceBased.pth,E,8,4,164,73.91255,0,Background
Baseline_AlexNet_FaceBased.pth,E,9,4,180,81.35626,26,Mouth
Baseline_AlexNet_FaceBased.pth,E,10,4,164,74.45308,0,Background
Baseline_AlexNet_FaceBased.pth,E,11,4,180,90.30347,215,Mouth
Baseline_AlexNet_FaceBased.pth,E,12,4,164,75.198456,215,Background
Baseline_AlexNet_FaceBased.pth,E,13,4,215,141.8943,112,Background
Baseline_AlexNet_FaceBased.pth,E,14,4,197,80.642166,146,Mouth
Baseline_AlexNet_FaceBased.pth,E,15,4,0,22.71726,26,Background
Baseline_AlexNet_FaceBased.pth,E,16,4,198,130.33989,215,Mouth
Baseline_AlexNet_FaceBased.pth,E,17,4,197,81.075676,129,Mouth
Baseline_AlexNet_FaceBased.pth,E,18,4,181,84.15079,215,Mouth
Baseline_AlexNet_FaceBased.pth,E,19,4,180,89.65086,77,Mouth
Baseline_AlexNet_FaceBased.pth,E,20,4,180,88.84266,215,Mouth
Baseline_AlexNet_FaceBased.pth,E,21,4,164,96.2333,26,Background
Baseline_AlexNet_FaceBased.pth,Full,1,4,94,47.592983,0,Eyes
Baseline_AlexNet_FaceBased.pth,Full,2,4,94,67.41194,0,Eyes
Baseline_AlexNet_FaceBased.pth,Full,3,4,77,72.17182,0,Eyes
Baseline_AlexNet_FaceBased.pth,Full,4,4,94,63.74992,0,Eyes
Baseline_AlexNet_FaceBased.pth,Full,5,4,94,97.4386,26,Eyes
Baseline_AlexNet_FaceBased.pth,Full,6,4,94,71.96965,0,Eyes
Baseline_AlexNet_FaceBased.pth,Full,7,4,94,49.5468,26,Eyes
Baseline_AlexNet_FaceBased.pth,Full,8,4,94,66.42027,164,Eyes
Baseline_AlexNet_FaceBased.pth,Full,9,4,77,103.033714,25,Eyes
Baseline_AlexNet_FaceBased.pth,Full,10,4,77,104.34526,163,Eyes
Baseline_AlexNet_FaceBased.pth,Full,11,4,77,114.957214,129,Eyes
Baseline_AlexNet_FaceBased.pth,Full,12,4,77,118.27408,129,Eyes
Baseline_AlexNet_FaceBased.pth,Full,13,4,77,101.34789,163,Eyes
Baseline_AlexNet_FaceBased.pth,Full,14,4,60,78.11859,146,Background
Baseline_AlexNet_FaceBased.pth,Full,15,4,146,27.540955,0,Nose
Baseline_AlexNet_FaceBased.pth,Full,16,4,146,62.149803,0,Nose
Baseline_AlexNet_FaceBased.pth,Full,17,4,60,88.93146,146,Background
Baseline_AlexNet_FaceBased.pth,Full,18,4,60,104.471466,145,Background
Baseline_AlexNet_FaceBased.pth,Full,19,4,181,114.56558,129,Mouth
Baseline_AlexNet_FaceBased.pth,Full,20,4,181,107.7631,128,Mouth
Baseline_AlexNet_FaceBased.pth,Full,21,4,180,107.979004,215,Mouth
Baseline_AlexNet_FaceBased.pth,M,1,4,129,32.469906,26,Nose
Baseline_AlexNet_FaceBased.pth,M,2,4,128,42.986645,26,Nose
Baseline_AlexNet_FaceBased.pth,M,3,4,129,36.944153,78,Nose
Baseline_AlexNet_FaceBased.pth,M,4,4,60,45.301914,0,Background
Baseline_AlexNet_FaceBased.pth,M,5,4,129,66.283966,0,Nose
Baseline_AlexNet_FaceBased.pth,M,6,4,129,83.604485,78,Nose
Baseline_AlexNet_FaceBased.pth,M,7,4,129,89.528625,0,Nose
Baseline_AlexNet_FaceBased.pth,M,8,4,112,72.80426,0,Background
Baseline_AlexNet_FaceBased.pth,M,9,4,129,27.652754,0,Nose
Baseline_AlexNet_FaceBased.pth,M,10,4,112,32.18873,0,Background
Baseline_AlexNet_FaceBased.pth,M,11,4,129,55.3635,0,Nose
Baseline_AlexNet_FaceBased.pth,M,12,4,128,38.08875,0,Nose
Baseline_AlexNet_FaceBased.pth,M,13,4,112,48.608322,0,Background
Baseline_AlexNet_FaceBased.pth,M,14,4,128,43.023384,0,Nose
Baseline_AlexNet_FaceBased.pth,M,15,4,112,23.404085,0,Background
Baseline_AlexNet_FaceBased.pth,M,16,4,112,21.170685,0,Background
Baseline_AlexNet_FaceBased.pth,M,17,4,129,25.50959,0,Nose
Baseline_AlexNet_FaceBased.pth,M,18,4,128,41.57617,0,Nose
Baseline_AlexNet_FaceBased.pth,M,19,4,112,17.424377,0,Background
Baseline_AlexNet_FaceBased.pth,M,20,4,0,0,0,Background
