ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
Baseline_AlexNet_FaceBased,Baseline,FaceBased,Baseline,4,E,21,0.012814,0.013577,0.002963,0.006180,0.030577,0.035679,0.007786,0.016241,0.317402,0.173803,0.037927,0.079114,0.891557,0.146044,0.031869,0.066478
Baseline_AlexNet_FaceBased,Baseline,FaceBased,Baseline,4,Full,21,0.272479,0.214956,0.046907,0.097847,0.090088,0.211912,0.046243,0.096461,0.078258,0.132751,0.028969,0.060428,0.848200,0.285824,0.062372,0.130105
Baseline_AlexNet_FaceBased,Baseline,FaceBased,Baseline,4,M,20,0.022965,0.014428,0.003148,0.006567,0.434068,0.221379,0.048309,0.100770,0.000560,0.001541,0.000336,0.000701,0.073423,0.069941,0.015262,0.031837
Baseline_AlexNet_FaceBased,Baseline,FaceBased,Baseline,4,N,13,0.179918,0.316465,0.069058,0.144053,0.093274,0.166338,0.036298,0.075716,0.026813,0.054327,0.011855,0.024730,0.649625,0.413124,0.090151,0.188052
Baseline_AlexNet_ObjectBased,Baseline,ObjectBased,Baseline,4,E,21,0.001594,0.001536,0.000335,0.000699,0.251736,0.047778,0.010426,0.021748,0.188453,0.052774,0.011516,0.024022,0.427519,0.083082,0.018130,0.037819
Baseline_AlexNet_ObjectBased,Baseline,ObjectBased,Baseline,4,Full,21,0.063578,0.042444,0.009262,0.019320,0.100026,0.043623,0.009519,0.019857,0.223868,0.055744,0.012164,0.025375,0.748581,0.079403,0.017327,0.036144
Baseline_AlexNet_ObjectBased,Baseline,ObjectBased,Baseline,4,M,21,0.221509,0.121176,0.026443,0.055159,0.103454,0.073861,0.016118,0.033621,0.003812,0.010541,0.002300,0.004798,0.670455,0.172226,0.037583,0.078396
Baseline_AlexNet_ObjectBased,Baseline,ObjectBased,Baseline,4,N,21,0.236380,0.075426,0.016459,0.034333,0.014823,0.018820,0.004107,0.008567,0.247200,0.078965,0.017232,0.035944,0.972531,0.032741,0.007145,0.014904
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,2,E,19,0.036660,0.031837,0.006947,0.014492,0.054681,0.058225,0.012706,0.026504,0.090505,0.078780,0.017191,0.035860,0.716120,0.147233,0.032129,0.067020
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,2,Full,8,0.023684,0.042426,0.009258,0.019312,0.048376,0.155242,0.033877,0.070665,0.014042,0.048949,0.010682,0.022281,0.701404,0.364151,0.079464,0.165760
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,2,M,9,0.201425,0.296163,0.064628,0.134812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,2,N,21,0.090546,0.082881,0.018086,0.037727,0.039482,0.022925,0.005003,0.010435,0.058296,0.038149,0.008325,0.017365,0.747462,0.154361,0.033684,0.070264
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,4,E,21,0.042653,0.034372,0.007501,0.015646,0.226888,0.071130,0.015522,0.032378,0.224564,0.094529,0.020628,0.043029,0.543030,0.115379,0.025178,0.052520
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,4,Full,13,0.105223,0.177770,0.038793,0.080920,0.232695,0.253223,0.055258,0.115266,0.004611,0.017850,0.003895,0.008125,0.331934,0.372377,0.081259,0.169504
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,4,M,17,0.077506,0.142119,0.031013,0.064692,0.384504,0.324943,0.070908,0.147912,0.008806,0.020015,0.004368,0.009111,0.243003,0.328440,0.071671,0.149504
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,4,N,21,0.131362,0.120570,0.026310,0.054883,0.132353,0.062655,0.013672,0.028520,0.114043,0.150130,0.032761,0.068339,0.576989,0.228072,0.049769,0.103817
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,8,E,21,0.152564,0.175166,0.038224,0.079735,0.100524,0.090832,0.019821,0.041346,0.123770,0.119520,0.026081,0.054405,0.736675,0.229927,0.050174,0.104661
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,8,Full,20,0.070549,0.167728,0.036601,0.076349,0.036153,0.046484,0.010144,0.021159,0.230072,0.218600,0.047703,0.099506,0.909912,0.097042,0.021176,0.044173
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,8,M,21,0.030190,0.040717,0.008885,0.018534,0.011071,0.015326,0.003344,0.006976,0.022280,0.016319,0.003561,0.007428,0.865467,0.126439,0.027591,0.057554
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,8,N,16,0.276015,0.257654,0.056225,0.117283,0.002774,0.010266,0.002240,0.004673,0.000268,0.001174,0.000256,0.000534,0.992364,0.021343,0.004657,0.009715
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,16,E,21,0.012746,0.012007,0.002620,0.005465,0.148050,0.040782,0.008899,0.018564,0.328022,0.090835,0.019822,0.041348,0.694513,0.084281,0.018392,0.038364
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,16,Full,21,0.073019,0.061749,0.013475,0.028108,0.082053,0.043219,0.009431,0.019673,0.270549,0.056747,0.012383,0.025831,0.807201,0.105012,0.022915,0.047801
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,16,M,21,0.164191,0.048820,0.010653,0.022223,0.073936,0.041536,0.009064,0.018907,0.018852,0.029444,0.006425,0.013403,0.711873,0.137381,0.029979,0.062535
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,16,N,21,0.195196,0.080784,0.017629,0.036773,0.036507,0.031283,0.006827,0.014240,0.046160,0.030407,0.006635,0.013841,0.872498,0.094141,0.020543,0.042853
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,E,21,0.049097,0.049628,0.010830,0.022591,0.424518,0.234558,0.051185,0.106770,0.009195,0.015110,0.003297,0.006878,0.196141,0.224542,0.048999,0.102210
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,Full,19,0.211689,0.136466,0.029779,0.062118,0.164482,0.085130,0.018577,0.038751,0.008927,0.022849,0.004986,0.010401,0.557926,0.142062,0.031001,0.064666
SE-Conv-L1_FaceBased,SE-Conv,FaceBased,L1,32,M,9,0.162892,0.271713,0.059293,0.123682,0.011735,0.031744,0.006927,0.014450,0.025842,0.071314,0.015562,0.032462,0.902499,0.213115,0.046506,0.097009
