SE_Position,Pretraining,Reduction,N,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,Eyes_Mean,Eyes_SEM,Nose_Mean,Nose_SEM,Mouth_Mean,Mouth_SEM
FC-L1,FaceBased,2,21,0.656088,0.014137,0.003085,0.049846,0.000521,0.073364,0.000988,0.089956,0.000599
FC-L1,FaceBased,4,21,0.724278,0.062634,0.013668,0.121395,0.003977,0.048990,0.003482,0.004978,0.000586
FC-L1,FaceBased,8,21,0.777270,0.010116,0.002208,0.055649,0.000956,0.049485,0.000611,0.116989,0.001419
FC-L1,FaceBased,32,21,0.658350,0.011303,0.002466,0.066163,0.000660,0.076989,0.000786,0.082125,0.000673
FC-L1,ObjectBased,2,21,0.664818,0.013213,0.002883,0.090657,0.000913,0.083222,0.000727,0.074502,0.000703
FC-L1,ObjectBased,4,21,0.478875,0.028439,0.006206,0.127364,0.003534,0.184735,0.004466,0.041965,0.003025
FC-L1,ObjectBased,8,21,0.959558,0.061740,0.013473,0.028118,0.004039,0.003691,0.001405,0.018323,0.003915
FC-L1,ObjectBased,16,21,0.717410,0.010751,0.002346,0.060235,0.000552,0.062176,0.000735,0.097530,0.000666
FC-L1,ObjectBased,32,21,0.760017,0.032837,0.007166,0.042693,0.001767,0.048179,0.002210,0.108123,0.001533
FC-L2,FaceBased,2,12,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024059,0.010187
FC-L2,FaceBased,4,21,0.749743,0.013454,0.002936,0.030004,0.000777,0.032457,0.000762,0.067120,0.001497
FC-L2,FaceBased,8,21,0.590251,0.021870,0.004772,0.098753,0.002503,0.099426,0.001928,0.044977,0.002287
FC-L2,FaceBased,16,21,0.996384,0.016571,0.003616,0.005944,0.001342,0.000379,0.000379,0.075473,0.004339
FC-L2,FaceBased,32,21,0.694465,0.105660,0.023057,0.004973,0.000698,0.047011,0.004560,0.096550,0.004208
FC-L2,ObjectBased,2,21,0.647263,0.021055,0.004595,0.050156,0.000582,0.081801,0.001034,0.100071,0.001477
FC-L2,ObjectBased,4,21,0.701110,0.050965,0.011121,0.038964,0.001398,0.050231,0.002849,0.076925,0.000926
FC-L2,ObjectBased,8,21,0.429835,0.049375,0.010774,0.035965,0.001723,0.059449,0.001587,0.009503,0.000711
FC-L2,ObjectBased,16,21,0.779186,0.062729,0.013689,0.057944,0.004188,0.027913,0.002774,0.033251,0.001849
FC-L2,ObjectBased,32,2,1.000000,0.000000,0.000000,0.009082,0.009082,0.000000,0.000000,0.069987,0.005439
FC-L3,FaceBased,2,21,0.577398,0.144140,0.031454,0.175734,0.028382,0.184889,0.017472,0.101414,0.035620
FC-L3,FaceBased,4,20,0.631012,0.286645,0.064096,0.128064,0.037754,0.077804,0.018000,0.076392,0.031418
FC-L3,FaceBased,8,14,0.647947,0.323076,0.086346,0.405975,0.067517,0.196925,0.050465,0.025251,0.016952
FC-L3,FaceBased,16,21,0.949509,0.142050,0.030998,0.212614,0.047852,0.008528,0.003774,0.033297,0.015044
FC-L3,FaceBased,32,17,0.536240,0.352729,0.085549,0.217562,0.053619,0.137136,0.024489,0.034262,0.017134
FC-L3,ObjectBased,2,21,0.685167,0.111694,0.024374,0.153629,0.013465,0.130632,0.012462,0.087375,0.008468
FC-L3,ObjectBased,4,21,0.583124,0.124492,0.027166,0.155876,0.025539,0.183650,0.015395,0.098699,0.014870
FC-L3,ObjectBased,8,19,0.792546,0.294557,0.067576,0.149560,0.038942,0.083521,0.026160,0.241256,0.051379
FC-L3,ObjectBased,16,21,0.773570,0.126361,0.027574,0.064805,0.007745,0.075100,0.015065,0.116125,0.017292
FC-L3,ObjectBased,32,21,0.516432,0.175619,0.038323,0.019019,0.003123,0.073776,0.007708,0.061771,0.006910
FC-L1,FaceBased,ALL,84,0.703996,0.060161,0.006564,0.073264,0.003281,0.062207,0.001702,0.073512,0.004590
FC-L1,ObjectBased,ALL,105,0.716135,0.159387,0.015555,0.069813,0.003662,0.076401,0.005985,0.068088,0.003460
FC-L2,FaceBased,ALL,96,0.787997,0.169483,0.017298,0.030554,0.003907,0.039216,0.003905,0.065159,0.003035
FC-L2,ObjectBased,ALL,86,0.647736,0.147777,0.015935,0.044904,0.001607,0.053573,0.002492,0.055287,0.003872
FC-L3,FaceBased,ALL,93,0.676050,0.292785,0.030360,0.216116,0.022017,0.115119,0.012582,0.056911,0.011935
FC-L3,ObjectBased,ALL,103,0.667791,0.203549,0.020056,0.107782,0.010812,0.109837,0.008211,0.118711,0.012162
