SE_Position,Reduction,FaceBased_Mean,FaceBased_SD,FaceBased_N,ObjectBased_Mean,ObjectBased_SD,ObjectBased_N,Mean_Diff,t_statistic,p_value,Cohens_d,Hedges_g,d_interpretation,p_FDR_corrected
FC-L1,2,0.656088,0.014137,21,0.664818,0.013213,21,-0.008731,-2.067531,0.045226,-0.638054,-0.626015,medium,0.058793
FC-L1,4,0.724278,0.062634,21,0.478875,0.028439,21,0.245403,16.348438,0.000000,5.045238,4.950044,large,0.000000
FC-L1,8,0.777270,0.010116,21,0.959558,0.061740,21,-0.182288,-13.352054,0.000000,-4.120533,-4.042787,large,0.000000
FC-L1,32,0.658350,0.011303,21,0.760017,0.032837,21,-0.101666,-13.415515,0.000000,-4.140118,-4.062002,large,0.000000
FC-L2,2,1.000000,0.000000,12,0.647263,0.021055,21,0.352737,76.772844,0.000000,23.692614,23.114745,large,0.000000
FC-L2,4,0.749743,0.013454,21,0.701110,0.050965,21,0.048633,4.228055,0.000325,1.304806,1.280187,large,0.000528
FC-L2,8,0.590251,0.021870,21,0.429835,0.049375,21,0.160416,13.612987,0.000000,4.201059,4.121794,large,0.000000
FC-L2,16,0.996384,0.016571,21,0.779186,0.062729,21,0.217198,15.340868,0.000000,4.734295,4.644968,large,0.000000
FC-L3,2,0.577398,0.144140,21,0.685167,0.111694,21,-0.107769,-2.708295,0.010116,-0.835798,-0.820028,large,0.014611
FC-L3,4,0.631012,0.286645,20,0.583124,0.124492,21,0.047888,0.687893,0.497694,0.216707,0.212513,small,0.539168
FC-L3,8,0.647947,0.323076,14,0.792546,0.294557,19,-0.144599,-1.318788,0.198484,-0.467737,-0.456329,small,0.234571
FC-L3,16,0.949509,0.142050,21,0.773570,0.126361,21,0.175939,4.240780,0.000130,1.308733,1.284040,large,0.000242
FC-L3,32,0.536240,0.352729,17,0.516432,0.175619,21,0.019808,0.211303,0.834566,0.071092,0.069601,negligible,0.834566
